0.025, 0.025, 0.05
0.075, 0.1, 0.125
0.15, 0.175, 0.2
0.225, 0.25, 0.275
0.3, 0.325, 0.35
0.375, 0.4, 0.425
0.45, 0.475, 0.5
0.525, 0.55, 0.575
0.6, 0.625, 0.65
0.675, 0.7, 0.725
0.75, 0.775, 0.8
0.825, 0.85, 0.875
0.9, 0.925, 0.95
0.975, 1, 1.025
1.05, 1.075, 1.1
1.125, 1.15, 1.175
1.2, 1.225, 1.25
1.275, 1.3, 1.325
1.35, 1.375, 1.4
1.425, 1.45, 1.475
1.5, 1.525, 1.55
1.575, 1.6, 1.625
1.65, 1.675, 1.7
1.725, 1.75, 1.775
1.8, 1.825, 1.85
1.875, 1.9, 1.925
1.95, 1.975, 2
2.025, 2.05, 2.075
2.1, 2.125, 2.15
2.175, 2.2, 2.225
2.25, 2.275, 2.3
2.325, 2.35, 2.375
2.4, 2.425, 2.45
2.475, 2.5, 2.525
2.55, 2.575, 2.6
2.625, 2.65, 2.675
2.7, 2.725, 2.75
2.775, 2.8, 2.825
2.85, 2.875, 2.9
2.925, 2.95, 2.975
3, 3.025, 3.05
3.075, 3.1, 3.125
3.15, 3.175, 3.2
3.225, 3.25, 3.275
3.3, 3.325, 3.35
3.375, 3.4, 3.425
3.45, 3.475, 3.5
3.525, 3.55, 3.575
3.6, 3.625, 3.65
3.675, 3.7, 3.725
3.75, 3.775, 3.8
3.825, 3.85, 3.875
3.9, 3.925, 3.95
3.975, 4, 4.025
4.05, 4.075, 4.1
4.125, 4.15, 4.175
4.2, 4.225, 4.25
4.275, 4.3, 4.325
4.35, 4.375, 4.4
4.425, 4.45, 4.475
4.5, 4.525, 4.55
4.575, 4.6, 4.625
4.65, 4.675, 4.7
4.725, 4.75, 4.775
4.8, 4.825, 4.85
4.875, 4.9, 4.925
4.95, 4.975, 5
5.025, 5.05, 5.075
5.1, 5.125, 5.15
5.175, 5.2, 5.225
5.25, 5.275, 5.3
5.325, 5.35, 5.375
5.4, 5.425, 5.45
5.475, 5.5, 5.525
5.55, 5.575, 5.6
5.625, 5.65, 5.675
5.7, 5.725, 5.75
5.775, 5.8, 5.825
5.85, 5.875, 5.9
5.925, 5.95, 5.975
6, 6.025, 6.05
6.075, 6.1, 6.125
6.15, 6.175, 6.2
6.225, 6.25, 6.275
6.3, 6.325, 6.35
6.375, 6.4, 6.425
6.45, 6.475, 6.5
6.525, 6.55, 6.575
6.6, 6.625, 6.65
6.675, 6.7, 6.725
6.75, 6.775, 6.8
6.825, 6.85, 6.875
6.9, 6.925, 6.95
6.975, 7, 7.025
7.05, 7.075, 7.1
7.125, 7.15, 7.175
7.2, 7.225, 7.25
7.275, 7.3, 7.325
7.35, 7.375, 7.4
7.425, 7.45, 7.475
7.5, 7.525, 7.55
7.575, 7.6, 7.625
7.65, 7.675, 7.7
7.725, 7.75, 7.775
7.8, 7.825, 7.85
7.875, 7.9, 7.925
7.95, 7.975, 8
8.025, 8.05, 8.075
8.1, 8.125, 8.15
8.175, 8.2, 8.225
8.25, 8.275, 8.3
8.325, 8.35, 8.375
8.4, 8.425, 8.45
8.475, 8.5, 8.525
8.55, 8.575, 8.6
8.625, 8.65, 8.675
8.7, 8.725, 8.75
